DUT,Bin,ID,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,
DUT,Bin,Site,GL Continuity,GH Continuity,SMOD Continuity,DISB Continuity,NC Continuity,VIN Continuity,PHASE Continuity,SW Continuity,BOOT Continuity,VCIN Continuity,PWM Continuity,THDN Continuity,VDRV_Continuity,PRE_UIL_IDSS,PEAK_ID,BV_AVALANCHE,POST_UIL_IDSS,Boot_Diode_IR,Boot_SW,Boot_Diode_VF,PRE_I_VDRV,PRE_I_VCIN,PRE_I_VIN,PRE_I_SMOD,PRE_I_THDN,PRE_I_PWM,PRE_I_DISB,AMR_I_VDRV,AMR_I_VCIN,AMR_I_VIN,AMR_I_SMOD,AMR_I_THDN,AMR_I_PWM,AMR_I_DISB,POST_I_VDRV,POST_I_VCIN,POST_I_VIN,POST_I_SMOD,POST_I_THDN,POST_I_PWM,POST_I_DISB,DELTA_I_VDRV,DELTA_I_VCIN,DELTA_I_VIN,DELTA_I_SMOD,DELTA_I_THDN,DELTA_I_PWM,DELTA_I_DISB,SW_PSD000,SW_PSD010,SW_PSD110,SW_PSD100,SW_PSD001,SW_PSD011,SW_PSD101,SW_PSD111,SW_PSDx11,SW_PSDx01,SW_PSD000,PWM_FLOAT,I_PWM_HI,I_PWM_LO,PWMSrcRes,PWMSnkRes,PWM_TRI_LO_GH,PWM_TRI_LO_GL,PWM_VIH_GH,PWM_VIH_GL,PWM_TRI_HI_GH,PWM_TRI_HI_GL,PWM_VIL_GH,PWM_VIL_GL,SMOD_FLOAT,SMOD_ON,SMOD_OFF,I_SMOD_HI,I_SMOD_LO,DISB_FLOAT,DISB_ON,DISB_OFF,I_DISB_HI,I_DISB_LO,IQ_PSD000_VCIN,IQ_PSD000_VDRV,IQ_PSD000_VIN,IQ_PSD010_VCIN,IQ_PSD010_VDRV,IQ_PSD010_VIN,IQ_PSD011_VCIN,IQ_PSD011_VDRV,IQ_PSD011_VIN,IQ_PSD101_VCIN,IQ_PSD101_VDRV,IQ_PSD101_VIN,IQ_PSD111_VCIN,IQ_PSD111_VDRV,IQ_PSD111_VIN,IQ_PSDX11_VCIN,IQ_PSDX11_VDRV,IQ_PSDX11_VIN,UVLO_UP,UVLO_DN,UVLO_HYS,LdrvSource,LdrvSink,HdrvSource,HdrvSink,HS_Vgsth,HSFET_VSD,HSFET_IDSS,HSFET_IDON,HSFET_RDSON,LS_Vgsth,LSFET_VSD,LSFET_IDSS,LSFET_IDON,LSFET_RDSON,Tr_gh,Tf_gh,Td_deadon,Tpd_plghl,Tpd_phghh,Tpd_tsghh,Tr_gl,Tf_gl,T_ZCD_min,Tpd_phgll,Tpd_tsglh,Td_holdoff,Tpd_disbl,Tpd_disbh,Tpd_slgll,Tpd_shglh,Tdeadoff,Tdeadon,IQ_VIN_1000F_5,IQ_VIN_1000F_5_5,IQ_VIN_1000F_6,IQ_VIN_Ratio_5V_6V,POST_I_VDRV,POST_I_VCIN,POST_I_VIN,POST_I_SMOD,POST_I_THDN,POST_I_PWM,POST_I_DISB,DELTA_I_VDRV,DELTA_I_VCIN,DELTA_I_VIN,DELTA_I_SMOD,DELTA_I_THDN,DELTA_I_PWM,DELTA_I_DISB,
9,1,0,-0.531041,-0.542793,-0.552259,-0.549149,-4.09504,-0.521543,-0.215502,-0.165069,-0.539049,-0.53733,-0.550449,-0.657339,-0.557653,0,0,0,0,-1.20817,1.04761,727.865,2.37003,0.601084,0.463812,-0.00680268,83.289,10.6298,12.1328,2.9749,0.666028,2.25239,-0.00743104,104.893,12.6765,13.1132,0.17428,0.597702,0.266179,-0.00743104,83.2941,10.7548,12.1281,0,0,0,0,0,0,0,0.998756,0.998522,0.998728,1.00973,1.00973,0.00868588,12.0082,12.0071,1.00539,1.00756,1.00756,2.33738,269.908,-254.833,19.619,17.2253,1.00973,0.000189679,12.0071,-2.64444e-005,1.00865,4.55967e-005,0.0108573,5.00474,2.97725,5.00395,0.00098213,-1.69285,-6.2886,-0.331607,5.00182,0.000693966,11.6936,-0.0328693,0.15517,0.00385103,0.000608022,0.0621623,0.00422922,0.000345869,0.598481,-0.0117269,0.000378638,0.530739,0.0102294,0.000116485,0.406015,-0.00283461,0.697208,0.348478,6.55353e-006,-0.000243975,3.38152,3.02429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.2348,5.73959,27.7304,16.6367,27.3254,26.1592,34.7806,14.6677,0,27.2984,17.5363,170.957,208.483,500.786,1629.02,15.38,12.2721,18.308,77.0851,77.3379,77.4143,0,2.27419,0.599479,0.54616,-0.00366089,83.232,10.3642,12.1855,0,0,0,0,0,0,0,
10,1,0,-0.530791,-0.542556,-0.552146,-0.549087,-4.09504,-0.521283,-0.215302,-0.164882,-0.538875,-0.53718,-0.550387,-0.657139,-0.557491,0,0,0,0,-1.12207,1.03315,727.665,2.41213,0.600959,0.322175,-0.00586014,83.2905,10.458,12.1294,2.95824,0.666184,2.22604,-0.00730537,104.891,12.6609,13.1203,0.16831,0.597234,0.246416,-0.00601723,83.2859,10.4892,12.1354,0,0,0,0,0,0,0,0.998822,0.998653,0.998747,1.00973,1.00973,0.00760014,12.005,12.0071,1.00648,1.00865,1.00756,2.33729,269.846,-254.836,19.6197,17.2232,1.00973,0.00026172,12.0071,0.000189679,1.00648,0.000189679,0.00977161,5.00467,2.97759,5.00438,0.000693966,-1.68908,-6.2853,-0.331967,5.00201,0.000621925,11.6955,-0.0108783,0.154764,0.00449177,0.000444177,0.0616013,0.00402918,0.000837406,0.598762,-0.0126458,-1.45912e-005,0.530602,0.0102294,0.000162362,0.405734,-0.00290024,0.697241,0.348259,0.000400378,-0.000604435,3.38152,3.02491,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.0199,5.86627,27.5947,17.0297,27.2734,26.2498,35.1162,14.8317,0,27.1978,17.5398,171.265,208.782,500.85,1620.9,15.4499,12.4094,18.398,77.0927,77.3487,77.4273,0,2.23272,0.599681,0.493457,-0.00507469,83.228,10.8017,12.1892,0,0,0,0,0,0,0,
11,1,0,-0.530679,-0.542418,-0.552096,-0.549037,-4.09504,-0.521088,-0.21514,-0.164795,-0.538737,-0.537005,-0.550187,-0.656927,-0.557466,0,0,0,0,-1.18209,0.956485,727.553,2.35683,0.601037,0.417698,-0.0035038,83.2879,10.7392,12.1343,2.9661,0.665825,2.32157,-0.00831075,104.885,12.7234,13.117,0.172709,0.597266,0.430873,-0.00727395,83.2846,10.6142,12.1382,0,0,0,0,0,0,0,0.998737,0.998719,0.998625,1.00756,1.00973,0.0108573,12.0061,12.0071,1.00865,1.00539,1.00756,2.33726,269.908,-254.823,19.6195,17.2245,1.00865,0.000189679,12.0061,0.000189679,1.00756,0.000117638,0.0108573,5.00474,2.97775,5.00459,0.000910089,-1.69976,-6.28306,-0.33191,5.00189,0.000621925,11.6989,-0.0454356,0.154671,0.00348533,0.000902944,0.0617571,0.00488872,0.0011651,0.598855,-0.0126458,0.000411407,0.530565,0.0102294,0.000352423,0.40614,-0.00320342,0.696926,0.347979,0.000531652,0.000378638,3.38152,3.0246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.8818,5.74099,27.5543,16.7775,27.2216,25.9439,34.8913,14.6396,0,27.2435,17.4296,171.209,208.495,501.125,1634.97,15.3065,12.3523,18.4911,77.0925,77.3436,77.4145,0,2.34646,0.599853,0.513221,-0.00460342,83.2252,10.4111,12.1947,0,0,0,0,0,0,0,
12,1,0,-0.530704,-0.542268,-0.552009,-0.548812,-4.09504,-0.520796,-0.215078,-0.164682,-0.538637,-0.536967,-0.550237,-0.656802,-0.557341,0,0,0,0,-1.16858,0.995762,727.49,2.38637,0.601115,0.585686,-0.00633141,83.2895,10.7236,12.1409,2.96264,0.665841,2.29522,-0.00815366,104.884,12.6452,13.12,0.253777,0.597515,0.549454,-0.0049176,83.2853,10.6298,12.1382,0,0,0,0,0,0,0,0.998887,0.998784,0.998681,1.00973,1.00865,0.00977161,12.005,12.005,1.00865,1.00865,1.00865,2.33732,269.628,-254.801,19.6223,17.2259,1.00865,0.000333761,12.0061,-0.000170526,1.00648,0.000189679,0.00868588,5.00481,2.97703,5.00517,0.000766007,-1.69159,-6.28159,-0.331501,5.0019,0.000910089,11.7002,-0.0192558,0.15492,0.00491685,0.000542484,0.0624428,0.00390104,8.37162e-005,0.598699,-0.0124302,-0.000211206,0.530552,0.0102294,0.000208239,0.406389,-0.00366289,0.696965,0.348353,-0.000165354,0.000476946,3.38152,3.0246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.0435,5.81507,27.6205,16.9087,27.2272,26.0592,34.694,14.6217,0,27.295,17.5027,171.305,208.719,501.293,1622.26,15.5434,12.2462,18.3926,77.084,77.3351,77.4123,0,2.27482,0.599634,0.358408,-0.00523178,83.2235,10.7704,12.1932,0,0,0,0,0,0,0,
12,1,0,-0.530704,-0.542268,-0.552009,-0.548812,-4.09504,-0.520796,-0.215078,-0.164682,-0.538637,-0.536967,-0.550237,-0.656802,-0.557341,0,0,0,0,-1.22608,0.909666,726.403,2.35306,0.600351,0.299118,-0.00444634,83.2674,10.4736,12.1652,2.96264,0.665841,2.29522,-0.00815366,104.884,12.6452,13.12,0.253777,0.597515,0.549454,-0.0049176,83.2853,10.6298,12.1382,0,0,0,0,0,0,0,0.998887,0.998784,0.998681,1.00973,1.00865,0.00977161,12.005,12.005,1.00865,1.00865,1.00865,2.33732,269.628,-254.801,19.6223,17.2259,1.00865,0.000333761,12.0061,-0.000170526,1.00648,0.000189679,0.00868588,5.00481,2.97703,5.00517,0.000766007,-1.69159,-6.28159,-0.331501,5.0019,0.000910089,11.7002,-0.0192558,0.15492,0.00491685,0.000542484,0.0624428,0.00390104,8.37162e-005,0.598699,-0.0124302,-0.000211206,0.530552,0.0102294,0.000208239,0.406389,-0.00366289,0.696965,0.348353,-0.000165354,0.000476946,3.39213,3.02429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.0715,5.67951,27.632,16.8401,27.305,26.1968,35.3715,14.6407,0,27.3018,17.6041,171.512,209.02,501.869,1622.65,15.5591,12.1821,18.3599,77.084,77.3351,77.4123,0,2.02156,0.600507,0.434167,-0.00476051,83.2719,10.6923,12.1581,0,0,0,0,0,0,0,
13,1,0,-0.529729,-0.541918,-0.552021,-0.548924,-4.09504,-0.520958,-0.215153,-0.16472,-0.53865,-0.536992,-0.550175,-0.656827,-0.557391,0,0,0,0,-1.16984,0.97848,727.44,2.38228,0.60099,0.500045,-0.0064885,83.2851,10.3486,12.1399,2.96139,0.665716,2.15028,-0.00834216,104.884,12.8171,13.1231,0.250635,0.597733,0.325469,-0.0049176,83.2826,10.5205,12.1332,0,0,0,0,0,0,0,0.998775,0.99855,0.998662,1.00973,1.00973,0.00760014,12.005,12.0082,1.00973,1.00865,1.00648,2.33726,269.877,-254.836,19.6191,17.2232,1.00865,0.000477843,12.0028,0.000117638,1.00865,0.000117638,0.0108573,5.00488,2.9775,5.00445,0.000766007,-1.68468,-6.28168,-0.331413,5.00197,0.000477843,11.7024,-0.00983111,0.15492,0.00461992,0.000837406,0.061726,0.00376351,0.000837406,0.59817,-0.0125552,0.000345869,0.530671,0.0102294,7.06085e-005,0.40561,-0.00275959,0.696782,0.34907,0.000572285,-0.000243975,3.3812,3.0246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.921,5.59524,27.7843,16.6894,27.3842,26.1327,35.2038,14.9104,0,27.4045,17.4516,171.159,208.704,501.234,1627.05,15.459,12.3001,18.2687,77.0847,77.3353,77.4133,0,2.22643,0.599479,0.447343,-0.00727395,83.2235,10.7704,12.1951,0,0,0,0,0,0,0,
14,1,0,-0.530829,-0.542268,-0.551984,-0.548824,-4.09504,-0.520796,-0.215053,-0.164607,-0.538587,-0.53693,-0.550137,-0.656702,-0.557303,0,0,0,0,-1.13213,1.03441,727.365,2.41056,0.601053,0.312293,-0.00554596,83.2826,10.2705,12.136,2.94128,0.666137,1.7616,-0.00780806,104.883,12.6921,13.1208,0.241522,0.597328,0.424286,-0.00743104,83.2842,10.4892,12.1431,0,0,0,0,0,0,0,0.998878,0.998681,0.998719,1.00756,1.00756,0.00977161,12.0061,12.0071,1.0043,1.00756,1.00756,2.33722,269.877,-254.814,19.6211,17.224,1.00973,0.000117638,12.0039,-0.000170526,1.00648,0.000189679,0.00868588,5.00459,2.97709,5.00438,0.000693966,-1.69474,-6.27976,-0.331883,5.00192,0.000766007,11.7049,-0.0276334,0.154733,0.00410107,0.000771868,0.0620688,0.00353534,0.000902944,0.598699,-0.0113518,0.000804637,0.530764,0.0102294,0.000195131,0.405672,-0.00327219,0.697103,0.348758,-0.000627941,-0.000145668,3.3812,3.0246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.9025,5.97132,27.6665,16.8358,27.1708,26.0842,34.893,14.7507,0,27.4171,17.5535,171.4,208.71,501.272,1628.65,15.5032,12.3042,18.3084,77.0856,77.3361,77.4129,0,2.28582,0.599385,0.4704,-0.00570305,83.2208,10.6455,12.1985,0,0,0,0,0,0,0,
15,1,0,-0.530554,-0.542081,-0.551921,-0.548812,-4.09504,-0.520731,-0.214978,-0.164545,-0.538462,-0.536905,-0.550087,-0.656639,-0.557204,0,0,0,0,-1.15255,1.06426,727.328,2.43759,0.60085,0.473694,-0.00586014,83.2856,10.583,12.1388,2.93625,0.665841,2.17334,-0.00824791,104.883,12.7858,13.1247,0.236809,0.597951,0.447343,-0.00695977,83.2813,10.3955,12.1376,0,0,0,0,0,0,0,0.998672,0.998625,0.998578,1.00973,1.00973,0.00760014,12.0071,12.005,1.00756,1.0043,1.00865,2.33726,269.659,-254.804,19.6212,17.2255,1.00973,0.000189679,12.005,-2.64444e-005,1.00756,4.55967e-005,0.00977161,5.00467,2.97793,5.00481,0.000621925,-1.67714,-6.27857,-0.331468,5.00198,0.000766007,11.7062,0.00587675,0.155201,0.00393229,0.000640791,0.0610403,0.00416359,0.000575253,0.598419,-0.0132147,-4.73603e-005,0.530608,0.0102294,0.000155808,0.40561,-0.00276584,0.696847,0.348415,9.71956e-005,0.000247562,3.3812,3.02491,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.8495,5.91042,27.6704,16.7217,27.3551,26.2551,34.7343,14.7953,0,27.1919,17.5662,171.475,208.649,501.506,1625.31,15.3346,12.445,18.1604,77.0817,77.3329,77.4106,0,2.25031,0.599541,0.562629,-0.00507469,83.2227,10.4892,12.1952,0,0,0,0,0,0,0,
16,1,0,-0.530616,-0.542043,-0.551959,-0.548849,-4.09504,-0.520634,-0.21489,-0.164495,-0.538462,-0.536793,-0.550087,-0.656614,-0.557204,0,0,0,0,-1.14344,0.986021,727.29,2.38417,0.600694,0.42758,-0.00586014,83.2776,10.6767,12.141,2.94065,0.665732,1.95924,-0.00799657,104.881,12.5515,13.1285,0.166739,0.597484,0.197007,-0.00743104,83.2821,10.7392,12.1423,0,0,0,0,0,0,0,0.998634,0.998587,0.998662,1.00756,1.00973,0.00977161,12.0061,12.0071,1.00648,1.00648,1.00756,2.33729,269.69,-254.77,19.6247,17.2276,1.00973,0.000189679,12.0039,-2.64444e-005,1.00648,0.000189679,0.00977161,5.00495,2.9769,5.00481,0.00098213,-1.69097,-6.27785,-0.33105,5.00194,0.000838048,11.7055,-0.0129727,0.155076,0.0033103,0.000509715,0.0617571,0.00482621,0.000575253,0.59898,-0.0129865,8.37162e-005,0.530602,0.0102294,0.000241008,0.406327,-0.0029565,0.696952,0.348415,-0.000274749,-0.000145668,3.38152,3.0246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.0475,5.73138,27.5882,16.9332,27.3563,26.0772,35.1902,14.6081,0,27.3303,17.2504,171.458,208.815,501.367,1622.68,15.5397,12.3323,18.2102,77.0845,77.3371,77.4138,0,2.2412,0.599634,0.341938,-0.00413216,83.2203,10.7704,12.1965,0,0,0,0,0,0,0,
17,1,0,-0.530254,-0.541744,-0.551871,-0.548787,-4.09504,-0.520601,-0.214828,-0.164407,-0.5384,-0.536743,-0.550012,-0.656452,-0.557104,0,0,0,0,-1.17329,0.919093,727.24,2.38982,0.600881,0.420992,-0.00601723,83.282,10.4267,12.1445,2.99406,0.665436,2.17334,-0.00689694,104.883,12.5827,13.1261,0.204131,0.597188,0.150893,-0.00523178,83.2823,10.5205,12.1421,0,0,0,0,0,0,0,0.998756,0.998541,0.998587,1.00865,1.00865,0.00977161,12.0061,12.0061,1.00756,1.00756,1.00865,2.33726,269.69,-254.789,19.6227,17.2264,1.00973,0.000405802,12.0082,-2.64444e-005,1.00648,0.000117638,0.00977161,5.00431,2.97728,5.00459,0.000910089,-1.67589,-6.27687,-0.331184,5.00192,0.000910089,11.7118,0.0194902,0.15517,0.00406982,0.000280331,0.0620065,0.0035666,0.000476946,0.598263,-0.0119957,-0.000309513,0.530876,0.0102294,0.000195131,0.405516,-0.0024064,0.696736,0.347916,8.46932e-005,-4.73603e-005,3.38152,3.02429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.9296,5.91956,27.7809,16.8227,27.1516,26.143,35.3612,14.9215,0,27.172,17.4979,171.495,208.856,501.641,1621.96,15.5427,12.2506,18.2535,77.0855,77.3341,77.4144,0,2.3207,0.599588,0.476988,-0.00680268,83.2186,10.583,12.2031,0,0,0,0,0,0,0,
18,1,0,-0.530304,-0.541706,-0.551796,-0.548775,-4.09504,-0.520406,-0.21479,-0.164357,-0.5383,-0.53663,-0.55,-0.656377,-0.557054,0,0,0,0,-1.18775,0.95837,727.203,2.39108,0.601068,0.309,-0.00413216,83.2826,10.6455,12.1437,2.99344,0.66581,1.9823,-0.00699119,104.883,12.5827,13.1296,0.18025,0.597531,0.187126,-0.00617432,83.2785,10.3955,12.1415,0,0,0,0,0,0,0,0.9987,0.998541,0.998559,1.00539,1.00973,0.00868588,12.0061,12.005,1.00648,1.00648,1.00756,2.33732,269.534,-254.745,19.6258,17.2304,1.00973,0.000333761,12.0039,4.55967e-005,1.00648,0.000189679,0.00868588,5.00481,2.97759,5.0051,0.000693966,-1.6784,-6.27536,-0.330844,5.00194,0.000621925,11.7093,-0.00878392,0.155419,0.00490435,0.000411407,0.0617571,0.00366349,0.000739099,0.599354,-0.0121239,0.000739099,0.530739,0.0102294,0.000352423,0.405828,-0.00326594,0.697142,0.348478,2.53071e-005,8.37162e-005,3.3812,3.0246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.182,5.76255,27.8098,16.7641,27.2293,26.0994,34.8125,14.4723,0,27.2854,17.4943,171.402,208.813,501.546,1619.61,15.6035,12.2646,18.2646,77.0851,77.3361,77.4135,0,2.28896,0.599494,0.694385,-0.00523178,83.2194,10.4736,12.1973,0,0,0,0,0,0,0,
18,1,0,-0.530304,-0.541706,-0.551796,-0.548775,-4.09504,-0.520406,-0.21479,-0.164357,-0.5383,-0.53663,-0.55,-0.656377,-0.557054,0,0,0,0,-1.23708,0.837081,726.141,2.35149,0.600383,0.355114,-0.0064885,83.2653,10.458,12.1696,2.99344,0.66581,1.9823,-0.00699119,104.883,12.5827,13.1296,0.18025,0.597531,0.187126,-0.00617432,83.2785,10.3955,12.1415,0,0,0,0,0,0,0,0.9987,0.998541,0.998559,1.00539,1.00973,0.00868588,12.0061,12.005,1.00648,1.00648,1.00756,2.33732,269.534,-254.745,19.6258,17.2304,1.00973,0.000333761,12.0039,4.55967e-005,1.00648,0.000189679,0.00868588,5.00481,2.97759,5.0051,0.000693966,-1.6784,-6.27536,-0.330844,5.00194,0.000621925,11.7093,-0.00878392,0.155419,0.00490435,0.000411407,0.0617571,0.00366349,0.000739099,0.599354,-0.0121239,0.000739099,0.530739,0.0102294,0.000352423,0.405828,-0.00326594,0.697142,0.348478,2.53071e-005,8.37162e-005,3.39213,3.0246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.0879,5.65276,27.5177,16.8185,27.1149,26.1953,34.6397,14.5893,0,27.3505,17.5266,171.506,209.117,502.14,1626.49,15.418,12.3485,18.3211,77.0851,77.3361,77.4135,0,2.0533,0.600242,0.397935,-0.00695977,83.2692,10.708,12.1662,0,0,0,0,0,0,0,
19,1,0,-0.53284,-0.544517,-0.552346,-0.549287,-4.09504,-0.521997,-0.215752,-0.165282,-0.539062,-0.537442,-0.550487,-0.657451,-0.557741,0,0,0,0,-1.17581,1.02467,727.903,2.32478,0.601193,0.506633,-0.0035038,83.2923,10.5517,12.1234,2.93656,0.665919,2.72342,-0.00799657,104.893,12.5827,13.1107,0.260061,0.597686,0.565923,-0.00758813,83.2928,10.5361,12.1261,0,0,0,0,0,0,0,0.998803,0.998616,0.998644,1.00865,1.00756,0.00868588,12.005,12.0061,1.00865,1.00756,1.00756,2.33729,270.033,-254.854,19.6182,17.2219,1.00973,0.00026172,12.0061,-2.64444e-005,1.00756,0.000117638,0.00977161,5.00459,2.97715,5.00474,0.000693966,-1.67966,-6.28882,-0.332344,5.00192,0.000766007,11.6958,-0.00878392,0.154266,0.00391041,0.000378638,0.0614143,0.00451365,0.000444177,0.598918,-0.0123395,0.000542484,0.530746,0.0102294,4.43932e-005,0.406264,-0.00327844,0.696834,0.34854,-0.00078422,0.000411407,3.38152,3.02491,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.9709,5.61082,27.7254,16.8959,27.0562,26.1613,35.3592,14.7986,0,27.2663,17.367,171.094,208.635,500.795,1616.11,15.6747,12.3607,18.3353,77.0841,77.3324,77.4098,0,2.21889,0.599977,0.536278,-0.00554596,83.2304,10.458,12.1888,0,0,0,0,0,0,0,
20,1,0,-0.516374,-0.541094,-0.551971,-0.548812,-4.09504,-0.520764,-0.21504,-0.164557,-0.538512,-0.536868,-0.55015,-0.656689,-0.557229,0,0,0,0,-1.17203,1.03095,727.428,2.37003,0.600788,0.612037,-0.00633141,83.2817,10.6767,12.1366,2.94756,0.665576,2.02512,-0.00787089,104.883,12.6609,13.1253,0.204759,0.597499,0.414404,-0.00601723,83.2837,10.6142,12.1372,0,0,0,0,0,0,0,0.998822,0.998578,0.998597,1.00865,1.00973,0.0108573,12.0061,12.0071,1.00648,1.00648,1.00539,2.33735,269.877,-254.817,19.6205,17.2258,1.00865,0.000189679,12.0061,0.000117638,1.00539,4.55967e-005,0.00977161,5.00467,2.97768,5.00495,0.000766007,-1.68657,-6.27904,-0.331487,5.00198,0.000621925,11.7021,-0.0318221,0.155201,0.00530442,0.000968483,0.0615701,0.00481996,0.000214793,0.598481,-0.012302,-8.01295e-005,0.530746,0.0102294,1.81779e-005,0.406482,-0.00334095,0.696801,0.347667,0.000128451,-0.000506128,3.38152,3.02429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.7632,5.66353,27.6544,16.7049,27.1946,26.147,35.58,14.8676,0,27.3249,17.4266,171.452,208.952,501.359,1621.68,15.38,12.3335,18.1858,77.0811,77.3307,77.4073,0,2.24748,0.599759,0.733911,-0.00601723,83.2246,10.6142,12.1991,0,0,0,0,0,0,0,
21,1,0,-0.532315,-0.543605,-0.552134,-0.549062,-4.09504,-0.521413,-0.215452,-0.165032,-0.538887,-0.53718,-0.550374,-0.657164,-0.557528,0,0,0,0,-1.22168,1.03724,727.665,2.36877,0.601053,0.565923,-0.00601723,83.2842,10.5205,12.1352,2.94599,0.66581,1.7616,-0.00824791,104.888,12.6609,13.1195,0.197532,0.597499,0.289236,-0.00601723,83.2906,10.6611,12.1327,0,0,0,0,0,0,0,0.998868,0.998653,0.998662,1.00973,1.00865,0.00651441,12.0082,12.005,1.00648,1.00213,1.00648,2.33729,269.596,-254.858,19.6174,17.2221,1.00973,0.000189679,12.0071,4.55967e-005,1.00756,0.000189679,0.00868588,5.00445,2.97775,5.00467,0.00098213,-1.67526,-6.28501,-0.331452,5.00195,0.000693966,11.6989,-0.0370581,0.154796,0.00427611,0.000280331,0.0617883,0.00460429,-8.01295e-005,0.598731,-0.0126364,-0.000243975,0.530708,0.0102294,-6.70218e-005,0.405765,-0.00357537,0.696828,0.348665,-0.00102176,-0.000211206,3.38152,3.0246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.9007,5.62602,27.6677,16.8204,27.2898,26.1849,35.121,14.8115,0,27.3801,17.5142,171.438,208.829,500.982,1624.14,15.6038,12.5477,18.3077,77.0831,77.3308,77.4079,0,2.29085,0.599837,0.239828,-0.0080594,83.2287,10.7548,12.1932,0,0,0,0,0,0,0,
